buyer_id,supplier_id,to_airport,from_airport,flight_type,journey_type,pax,costprice,markup,selling_price,booking_date,payment_method,refund_status,refund_amount,channel_of_booking,booking_status,travel_date,cashback,coupon_redeem,Coupon USed?
227,5,DEN,LAS,International,one way,2,15011,4637,19648,01-03-2024,Credit Card,Yes,377.3696768,iOS,confirmed,10-03-2024,0,0,No
339,5,ATL,MIA,International,round trip,2,13895,4293,18188,01-03-2024,Bank Transfer,Yes,213.0122051,iOS,confirmed,07-03-2024,0,0,No
349,7,BLR,DEN,International,one way,2,33405,10319,43724,01-03-2024,Credit Card,Yes,0,Android,confirmed,26-03-2024,0,0,No
232,3,BOM,JAI,International,round trip,4,14360,4436,18796,01-03-2024,Credit Card,Yes,221.5225895,iOS,confirmed,03-03-2024,3.220937001,0,No
334,3,CCU,PNQ,International,round trip,4,21124,6525,27649,01-03-2024,Bank Transfer,Yes,295.31174,Android,confirmed,30-03-2024,4.293830766,0,No
406,5,ATL,DEL,International,round trip,1,15542,4801,20343,01-03-2024,Credit Card,Yes,648.4718574,Web,confirmed,28-04-2024,0,0,No
191,5,BOM,DEL,Domestic,round trip,4,6687,2066,8753,01-03-2024,Credit Card,Yes,357.9179894,iOS,confirmed,03-09-2024,0,22.13067453,Yes
393,1,DEL,MIA,International,one way,4,26276,8117,34393,01-03-2024,PayPal,Yes,546.5915777,Web,confirmed,08-03-2024,7.94743796,0,No
164,5,DEL,MIA,International,round trip,1,17129,5292,22421,01-03-2024,Credit Card,Yes,134.0049838,Android,confirmed,20-11-2024,0,3.220091384,Yes
152,5,BOM,SFO,International,one way,5,26922,8317,35239,01-03-2024,Credit Card,No,0,Web,confirmed,04-03-2024,0,0,No
10,5,GOI,AMD,International,one way,2,22872,7066,29938,01-03-2024,Credit Card,Yes,554.9125358,Android,confirmed,05-03-2024,0,0,No
177,5,LAS,AMD,International,one way,2,37350,11538,48888,01-03-2024,PayPal,No,0,iOS,confirmed,12-03-2024,0,0,No
320,1,JAI,GOI,International,round trip,4,15678,4843,20521,01-03-2024,PayPal,Yes,429.1118712,Web,confirmed,30-03-2024,6.239283798,0,No
275,5,BLR,SEA,International,round trip,3,28776,8889,37665,01-03-2024,Credit Card,No,0,iOS,confirmed,04-03-2024,0,0,No
25,5,SFO,HYD,International,round trip,4,17080,5277,22357,01-03-2024,Credit Card,Yes,53.83465183,Web,confirmed,13-03-2024,0,0,No
228,1,SFO,DEN,International,one way,3,23808,7354,31162,01-03-2024,Credit Card,Yes,0,Android,confirmed,28-06-2024,4.995630209,0,No
218,3,HYD,MAA,Domestic,one way,3,3932,1215,5147,01-03-2024,Debit Card,No,0,iOS,confirmed,21-03-2024,3.28599584,0,No
82,1,LHR,JAI,International,round trip,2,28278,8735,37013,01-03-2024,Debit Card,No,0,iOS,confirmed,20-03-2024,11.66942244,0,No
110,1,PNQ,SFO,International,round trip,1,21351,6596,27947,01-03-2024,PayPal,Yes,541.6638492,Web,confirmed,17-03-2024,7.875788821,0,No
411,5,AMD,ORD,International,round trip,2,29792,9203,38995,01-03-2024,Debit Card,Yes,0,Android,confirmed,27-04-2024,0,0,No
227,7,JAI,DEL,International,one way,3,36792,11365,48157,01-03-2024,PayPal,Yes,79.66433334,Android,confirmed,16-12-2024,0,1.363205071,Yes
91,7,GOI,DFW,International,one way,3,30689,9480,40169,01-03-2024,Bank Transfer,Yes,0,Web,confirmed,12-09-2024,0,25.15891819,Yes
479,5,AMD,BOM,International,round trip,1,33999,10502,44501,01-03-2024,Credit Card,No,0,iOS,confirmed,04-03-2024,0,0,No
226,5,HYD,BOM,Domestic,round trip,1,8328,2573,10901,01-03-2024,Debit Card,Yes,94.39397959,iOS,confirmed,24-03-2024,0,0,No
431,1,JAI,MIA,International,round trip,1,17295,5343,22638,01-03-2024,PayPal,Yes,684.034346,Web,confirmed,10-03-2024,9.945854912,0,No
355,1,GOI,BOM,International,round trip,2,30675,9475,40150,01-03-2024,Credit Card,Yes,753.4407013,Android,confirmed,16-12-2024,10.95502286,52.90580923,Yes
165,5,DEL,HYD,Domestic,round trip,5,8333,2575,10908,01-03-2024,PayPal,No,0,Web,confirmed,09-03-2024,0,0,No
251,1,ORD,JFK,International,round trip,2,14842,4585,19427,01-03-2024,PayPal,Yes,0,Web,confirmed,06-06-2024,12.13547271,0,No
28,5,MIA,BOM,International,round trip,3,23886,7379,31265,01-03-2024,PayPal,Yes,334.2367558,Android,confirmed,28-03-2024,0,0,No
344,3,AMD,MAA,International,round trip,2,22720,7018,29738,01-03-2024,PayPal,Yes,0,Android,confirmed,11-12-2024,7.717699081,36.81634107,Yes
495,5,GOI,HYD,International,one way,3,27208,8405,35613,01-03-2024,PayPal,Yes,222.1745075,iOS,confirmed,08-03-2024,0,0,No
6,5,BLR,ORD,International,round trip,4,32504,10040,42544,01-03-2024,Bank Transfer,Yes,255.5240116,iOS,confirmed,30-03-2024,0,0,No
452,3,DEL,AMD,International,round trip,4,27337,8445,35782,01-03-2024,Bank Transfer,No,0,Web,confirmed,08-03-2024,14.05438559,0,No
284,5,MIA,CCU,International,round trip,1,12138,3750,15888,01-03-2024,PayPal,No,0,iOS,confirmed,17-03-2024,0,0,No
188,5,PNQ,SFO,International,one way,1,13043,4029,17072,01-03-2024,Credit Card,Yes,856.4048815,Web,confirmed,19-03-2024,0,0,No
367,1,AMD,MAA,International,one way,1,22700,7012,29712,01-03-2024,Credit Card,Yes,843.7725398,Web,confirmed,08-03-2024,12.2684472,0,No
226,5,AMD,SEA,International,round trip,5,27258,8420,35678,01-03-2024,PayPal,Yes,126.0066789,Android,confirmed,20-03-2024,0,0,No
362,3,HYD,JAI,International,one way,1,24185,7471,31656,01-03-2024,Bank Transfer,Yes,302.2249737,Android,confirmed,05-03-2024,4.394349139,0,No
448,3,JAI,HYD,International,round trip,3,18223,5629,23852,01-03-2024,Credit Card,No,0,Android,confirmed,22-03-2024,3.674908111,0,No
241,5,BOM,JFK,International,round trip,1,27164,8391,35555,01-03-2024,PayPal,Yes,0,iOS,confirmed,17-09-2024,0,9.442209458,Yes
189,7,JFK,DFW,International,round trip,5,22919,7080,29999,01-03-2024,PayPal,Yes,0,iOS,confirmed,27-11-2024,0,2.600076337,Yes
119,5,JAI,HYD,International,round trip,5,20040,6191,26231,01-03-2024,Debit Card,Yes,428.2751871,Web,confirmed,22-03-2024,0,0,No
12,3,JAI,BOM,International,round trip,5,21976,6789,28765,01-03-2024,Debit Card,Yes,455.3935384,Android,confirmed,03-03-2024,6.621419066,0,No
267,5,HYD,BOM,Domestic,one way,3,9885,3054,12939,01-03-2024,Bank Transfer,Yes,81.47770028,Android,confirmed,10-03-2024,0,0,No
179,3,BOM,AMD,International,one way,2,24554,7585,32139,01-03-2024,Credit Card,Yes,493.3679224,Web,confirmed,16-03-2024,7.173566361,0,No
269,5,SFO,GOI,International,one way,1,12963,4005,16968,01-03-2024,Bank Transfer,Yes,278.9459413,iOS,confirmed,20-10-2024,0,13.08562943,Yes
493,5,AMD,LAX,International,one way,1,30645,9466,40111,01-03-2024,Credit Card,No,0,Web,confirmed,30-03-2024,0,0,No
271,7,DEN,ORD,International,round trip,2,34076,10526,44602,01-03-2024,Debit Card,Yes,442.7009385,Android,confirmed,17-07-2024,0,0,No
151,3,BOM,BLR,Domestic,one way,1,8393,2593,10986,01-03-2024,Credit Card,Yes,0,Android,confirmed,26-10-2024,1.291157419,3.958299314,Yes
497,3,MAA,DEL,Domestic,one way,2,10158,3138,13296,01-03-2024,Debit Card,Yes,613.7492657,Web,confirmed,22-08-2024,8.923910304,22.47262229,Yes
463,5,AMD,JAI,International,one way,1,21845,6748,28593,01-03-2024,Debit Card,No,0,Web,confirmed,22-03-2024,0,0,No
5,5,LAS,AMD,International,round trip,5,17396,5374,22770,01-03-2024,Bank Transfer,Yes,155.6501024,Web,confirmed,28-03-2024,0,0,No
461,3,MIA,DEN,International,one way,1,15064,4654,19718,01-03-2024,Credit Card,No,0,Android,confirmed,03-03-2024,1.776184721,0,No
336,1,CCU,HYD,Domestic,round trip,4,10414,3217,13631,01-03-2024,Credit Card,Yes,180.1193334,Web,confirmed,19-11-2024,2.618933929,4.123233708,Yes
415,7,HYD,BLR,Domestic,one way,1,8429,2604,11033,01-03-2024,PayPal,Yes,111.449291,Android,confirmed,02-03-2024,0,0,No
50,3,HYD,ATL,International,one way,1,37704,11647,49351,01-03-2024,Credit Card,Yes,585.9048548,Web,confirmed,22-12-2024,8.519052753,27.08844078,Yes
10,5,SYD,JAI,International,one way,4,20298,6271,26569,01-03-2024,PayPal,Yes,338.7111879,iOS,confirmed,24-06-2024,0,0,No
40,5,ATL,SEA,International,round trip,3,12127,3746,15873,01-03-2024,Debit Card,Yes,211.3676019,Web,confirmed,02-03-2024,0,0,No
294,3,SEA,PNQ,International,one way,1,34068,10524,44592,01-03-2024,Bank Transfer,Yes,545.5415163,Android,confirmed,24-11-2024,7.932170076,24.5004415,Yes
50,5,SFO,ORD,International,round trip,1,22702,7013,29715,01-03-2024,Debit Card,Yes,0,iOS,confirmed,22-03-2024,0,0,No
180,3,MAA,BLR,Domestic,round trip,3,6137,1896,8033,01-03-2024,Bank Transfer,Yes,492.505903,Web,confirmed,19-07-2024,7.161032605,0,No
448,7,JAI,BOM,International,round trip,5,30804,9515,40319,01-03-2024,Bank Transfer,Yes,534.3023604,Android,confirmed,10-03-2024,0,0,No
242,5,GOI,DEN,International,one way,3,18341,5666,24007,01-03-2024,Bank Transfer,No,0,Web,confirmed,21-03-2024,0,0,No
146,1,JAI,MAA,International,one way,1,12650,3908,16558,01-03-2024,Bank Transfer,Yes,565.9945235,Android,confirmed,02-03-2024,8.229556666,0,No
179,3,MAA,ATL,International,one way,4,22950,7090,30040,01-03-2024,Debit Card,Yes,0,Web,confirmed,24-12-2024,5.876480247,15.64937971,Yes
424,5,DEL,DEN,International,round trip,4,29775,9197,38972,01-03-2024,Credit Card,Yes,1034.513678,Web,confirmed,15-03-2024,0,0,No
418,3,DEN,DFW,International,round trip,5,30318,9366,39684,01-03-2024,Debit Card,No,0,Web,confirmed,23-03-2024,2.583190291,0,No
116,5,LAX,BLR,International,one way,2,12369,3821,16190,01-03-2024,Credit Card,Yes,692.3677323,Web,confirmed,02-03-2024,0,0,No
465,5,MIA,JAI,International,round trip,5,37450,11568,49018,01-03-2024,Debit Card,No,0,iOS,confirmed,26-03-2024,0,0,No
365,1,SFO,DFW,International,round trip,2,27957,8636,36593,02-03-2024,Debit Card,Yes,178.0021416,Web,confirmed,29-03-2024,2.588149973,0,No
145,3,JAI,LAS,International,round trip,4,34126,10541,44667,02-03-2024,Bank Transfer,Yes,658.6531317,Android,confirmed,31-03-2024,9.576812223,0,No
162,3,JAI,MAA,International,round trip,3,32123,9923,42046,02-03-2024,Debit Card,Yes,880.0943484,Android,confirmed,15-12-2024,12.79656606,41.17600266,Yes
467,1,MAA,HYD,Domestic,round trip,3,10855,3353,14208,02-03-2024,PayPal,Yes,424.3073105,iOS,confirmed,02-08-2024,6.169425517,0,No
8,1,DEL,PNQ,International,round trip,2,34326,10604,44930,02-03-2024,Credit Card,Yes,0,Web,confirmed,24-11-2024,6.995150756,2.765747329,Yes
310,7,BLR,BOM,Domestic,round trip,2,7553,2334,9887,02-03-2024,Bank Transfer,No,0,Android,confirmed,29-03-2024,0,0,No
346,3,PNQ,DEN,International,round trip,4,13195,4076,17271,02-03-2024,Debit Card,Yes,0,Web,confirmed,31-10-2024,12.76531378,25.61373247,Yes
25,1,AMD,MAA,International,round trip,1,24541,7581,32122,02-03-2024,Bank Transfer,Yes,81.93735234,Web,confirmed,26-08-2024,1.191368566,3.536564551,Yes
397,5,DEL,MAA,Domestic,one way,4,10107,3123,13230,02-03-2024,Credit Card,Yes,212.464348,Web,confirmed,20-03-2024,0,0,No
254,1,HYD,JAI,International,round trip,2,29991,9265,39256,02-03-2024,Bank Transfer,Yes,631.044615,Android,confirmed,09-03-2024,9.175384571,0,No
296,1,SFO,HYD,International,round trip,3,13635,4212,17847,02-03-2024,Debit Card,Yes,156.7309823,Web,confirmed,28-07-2024,2.278867456,0,No
346,5,BLR,PNQ,International,round trip,2,34560,10676,45236,02-03-2024,Bank Transfer,Yes,418.1298745,iOS,confirmed,18-04-2024,0,0,No
8,3,AMD,GOI,International,one way,5,36486,11271,47757,02-03-2024,Credit Card,Yes,196.333779,Web,confirmed,21-03-2024,2.854691861,0,No
429,5,JAI,GOI,International,round trip,1,32679,10095,42774,02-03-2024,PayPal,Yes,614.7864133,iOS,confirmed,06-03-2024,0,0,No
313,3,HYD,ATL,International,round trip,3,35210,10877,46087,02-03-2024,PayPal,Yes,721.4889143,Web,confirmed,26-03-2024,10.49044409,0,No
329,1,LAX,MIA,International,round trip,1,29611,9147,38758,02-03-2024,Debit Card,Yes,424.5487467,Android,confirmed,24-03-2024,6.172935998,0,No
221,1,MIA,DEN,International,one way,1,25932,8011,33943,02-03-2024,Credit Card,Yes,739.9219462,Web,confirmed,12-03-2024,10.75846025,0,No
408,1,AMD,JAI,International,round trip,4,16315,5040,21355,02-03-2024,Credit Card,Yes,1240.651621,Web,confirmed,24-03-2024,18.03906645,0,No
180,1,JAI,LAS,International,round trip,3,22166,6847,29013,02-03-2024,Debit Card,Yes,0,Android,confirmed,22-05-2024,1.689643915,0,No
18,5,SEA,JFK,International,round trip,3,28252,8727,36979,02-03-2024,PayPal,Yes,387.7890286,Web,confirmed,29-03-2024,0,0,No
473,7,SEA,DEL,International,round trip,3,13173,4069,17242,02-03-2024,Bank Transfer,Yes,0,Web,confirmed,26-11-2024,0,13.10313832,Yes
35,5,DEL,MAA,Domestic,round trip,2,6938,2144,9082,02-03-2024,Credit Card,Yes,761.0288037,iOS,confirmed,22-10-2024,0,46.3213514,Yes
235,5,DFW,LAS,International,one way,1,27732,8566,36298,02-03-2024,Credit Card,No,0,Web,confirmed,27-03-2024,0,0,No
285,5,LAS,BOM,International,round trip,4,12869,3976,16845,02-03-2024,Debit Card,No,0,Android,confirmed,30-03-2024,0,0,No
326,3,ORD,CCU,International,one way,1,17096,5281,22377,02-03-2024,Debit Card,Yes,183.7389097,Web,confirmed,31-08-2024,2.671562543,5.129264494,Yes
266,3,BOM,JAI,International,one way,4,12911,3988,16899,02-03-2024,Bank Transfer,Yes,187.1205793,Web,confirmed,13-03-2024,2.720731998,0,No
438,5,MAA,BOM,Domestic,round trip,4,10058,3108,13166,02-03-2024,Credit Card,Yes,798.6421242,Web,confirmed,22-03-2024,0,0,No
119,1,CCU,HYD,Domestic,round trip,1,8486,2622,11108,02-03-2024,Bank Transfer,Yes,0,Android,confirmed,14-07-2024,4.375530019,0,No
9,7,LAX,DEN,International,one way,1,20588,6360,26948,02-03-2024,Debit Card,Yes,0,iOS,confirmed,13-12-2024,0,79.69046885,Yes
249,5,GOI,DFW,International,one way,5,12792,3952,16744,02-03-2024,Debit Card,Yes,1041.584881,iOS,confirmed,30-03-2024,0,0,No
131,3,PNQ,DEL,International,round trip,1,16993,5249,22242,02-03-2024,Debit Card,No,0,Web,confirmed,04-03-2024,14.36443098,0,No
174,3,JAI,HYD,International,round trip,1,11564,3572,15136,02-03-2024,Debit Card,Yes,354.0112312,Web,confirmed,13-12-2024,5.147320984,-0.135178053,No
487,1,AMD,JAI,International,round trip,1,22528,6959,29487,02-03-2024,PayPal,Yes,0,Web,confirmed,17-09-2024,11.96362043,16.63652125,Yes
302,5,MAA,HYD,Domestic,one way,4,5431,1678,7109,02-03-2024,Bank Transfer,Yes,753.6527058,Web,confirmed,09-10-2024,0,9.745100779,Yes
78,5,JAI,DEL,International,round trip,3,38179,11793,49972,02-03-2024,Credit Card,Yes,868.7286184,Web,confirmed,05-03-2024,0,0,No
311,3,DEL,JAI,International,round trip,3,35824,11066,46890,02-03-2024,Debit Card,Yes,871.2967568,Android,confirmed,25-03-2024,12.66864914,0,No
449,5,SYD,JFK,International,round trip,2,29629,9153,38782,02-03-2024,Credit Card,Yes,81.38659243,Web,confirmed,29-03-2024,0,0,No
16,7,LAX,SFO,International,round trip,1,36123,11159,47282,02-03-2024,Debit Card,No,0,Web,confirmed,24-03-2024,0,0,No
378,1,SEA,CCU,International,round trip,5,28392,8770,37162,02-03-2024,PayPal,Yes,757.4933817,Web,confirmed,14-03-2024,11.01394881,0,No
472,5,LAS,DFW,International,round trip,1,26570,8208,34778,02-03-2024,Bank Transfer,Yes,569.694177,Web,confirmed,27-12-2024,0,5.804957427,Yes
66,3,SEA,BLR,International,round trip,5,15904,4913,20817,02-03-2024,PayPal,Yes,0,Android,confirmed,28-12-2024,8.388586989,29.56984907,Yes
232,1,DFW,MAA,International,round trip,3,26716,8253,34969,02-03-2024,Credit Card,Yes,823.8162201,Android,confirmed,13-06-2024,11.97828245,0,No
35,1,MAA,MIA,International,round trip,5,22259,6876,29135,02-03-2024,Debit Card,Yes,895.2994304,Web,confirmed,10-03-2024,13.01764786,0,No
230,3,CCU,BLR,Domestic,round trip,1,10943,3381,14324,02-03-2024,PayPal,Yes,0,Android,confirmed,28-08-2024,2.802177685,6.730007994,Yes
272,3,BOM,CCU,Domestic,one way,2,9926,3067,12993,02-03-2024,Debit Card,Yes,168.0966192,Web,confirmed,16-03-2024,2.444123742,0,No
371,5,MIA,HYD,International,one way,4,34095,10532,44627,02-03-2024,Bank Transfer,No,0,Web,confirmed,21-03-2024,0,0,No
230,7,LAX,LAS,International,one way,5,32644,10084,42728,02-03-2024,Credit Card,Yes,1071.15014,Android,confirmed,04-03-2024,0,0,No
63,5,LAX,GOI,International,one way,2,36920,11404,48324,02-03-2024,Bank Transfer,Yes,335.830559,Android,confirmed,07-07-2024,0,0,No
132,7,MIA,BLR,International,round trip,5,18716,5782,24498,02-03-2024,PayPal,Yes,0,Web,confirmed,17-11-2024,0,11.02922103,Yes
366,7,MAA,JAI,International,one way,4,19699,6085,25784,02-03-2024,Bank Transfer,Yes,0,Web,confirmed,13-11-2024,0,19.00550546,Yes
118,1,CCU,MAA,Domestic,round trip,5,5350,1653,7003,02-03-2024,Bank Transfer,Yes,185.4073365,Web,confirmed,07-03-2024,2.695821459,0,No
187,5,CCU,ORD,International,round trip,3,18032,5571,23603,02-03-2024,Debit Card,Yes,51.38481339,Android,confirmed,20-07-2024,0,0,No
247,1,HYD,MAA,Domestic,round trip,5,10943,3381,14324,02-03-2024,Debit Card,Yes,776.4578764,Android,confirmed,30-03-2024,11.28969244,0,No
199,5,JFK,GOI,International,one way,5,13718,4238,17956,02-03-2024,Credit Card,Yes,633.7469672,Web,confirmed,24-03-2024,0,0,No
17,1,HYD,LAX,International,round trip,1,15353,4743,20096,02-03-2024,Credit Card,No,0,Web,confirmed,29-03-2024,13.57167718,0,No
447,5,PNQ,AMD,International,one way,1,17858,5517,23375,02-03-2024,PayPal,Yes,102.1225339,Android,confirmed,19-09-2024,0,3.593314238,Yes
76,1,DEL,GOI,International,round trip,5,23561,7278,30839,02-03-2024,Bank Transfer,Yes,244.2015525,Web,confirmed,08-03-2024,3.550688975,0,No
212,1,MIA,DEL,International,one way,3,11616,3588,15204,02-03-2024,Bank Transfer,No,0,Web,confirmed,18-03-2024,0.732333216,0,No
249,3,ATL,DFW,International,one way,5,17210,5317,22527,02-03-2024,Bank Transfer,Yes,598.0054501,Web,confirmed,06-03-2024,8.694995329,0,No
312,1,AMD,DEN,International,round trip,5,23215,7172,30387,02-03-2024,Bank Transfer,No,0,Web,confirmed,19-03-2024,6.086276202,0,No
397,5,ATL,SEA,International,round trip,5,21195,6547,27742,02-03-2024,Debit Card,Yes,593.5901741,iOS,confirmed,11-06-2024,0,0,No
89,5,ATL,JAI,International,one way,3,27943,8632,36575,02-03-2024,Bank Transfer,Yes,0,Android,confirmed,05-07-2024,0,0,No
62,5,BOM,BLR,Domestic,one way,2,4320,1335,5655,02-03-2024,PayPal,Yes,691.5016727,Android,confirmed,27-03-2024,0,0,No
111,1,DFW,CCU,International,round trip,2,15511,4792,20303,02-03-2024,Debit Card,Yes,392.1507959,Android,confirmed,29-03-2024,5.701870005,0,No
251,5,ORD,GOI,International,one way,3,35841,11071,46912,02-03-2024,Debit Card,Yes,1096.360704,Web,confirmed,10-03-2024,0,0,No
424,5,JAI,AMD,International,round trip,2,37493,11582,49075,02-03-2024,Credit Card,Yes,625.6138987,iOS,confirmed,27-03-2024,0,0,No
49,5,BLR,DEL,Domestic,round trip,5,10967,3388,14355,02-03-2024,Credit Card,No,0,Android,confirmed,10-03-2024,0,0,No
96,1,ATL,ORD,International,round trip,2,12351,3816,16167,02-03-2024,PayPal,Yes,741.6848593,Web,confirmed,21-03-2024,10.784093,0,No
180,1,LAS,DEL,International,round trip,4,35489,10963,46452,02-03-2024,Credit Card,Yes,537.9190531,Web,confirmed,29-03-2024,7.82133951,0,No
149,5,MAA,BOM,Domestic,one way,4,7561,2336,9897,02-03-2024,Debit Card,No,0,Android,confirmed,26-03-2024,0,0,No
314,5,MAA,HYD,Domestic,one way,5,5322,1645,6967,02-03-2024,Credit Card,Yes,115.4308472,Web,confirmed,04-09-2024,0,5.452088839,Yes
124,3,AMD,MIA,International,round trip,2,38020,11744,49764,02-03-2024,PayPal,Yes,755.748945,Web,confirmed,26-03-2024,10.98858471,0,No
4,1,AMD,PNQ,International,round trip,4,32380,10002,42382,02-03-2024,Debit Card,No,0,Web,confirmed,19-03-2024,8.96704986,0,No
296,5,ATL,CCU,International,one way,3,22881,7068,29949,02-03-2024,Debit Card,Yes,414.00482,Web,confirmed,31-03-2024,0,0,No
75,7,HYD,AMD,International,one way,2,34686,10714,45400,02-03-2024,Debit Card,Yes,311.9625325,Android,confirmed,21-03-2024,0,0,No
39,3,BLR,DFW,International,round trip,5,18269,5643,23912,02-03-2024,PayPal,Yes,816.1551043,Web,confirmed,19-11-2024,11.86688987,32.5704775,Yes
69,1,DFW,JFK,International,one way,3,21777,6727,28504,02-03-2024,Credit Card,Yes,106.0807846,Web,confirmed,24-05-2024,1.542413914,0,No
324,1,MAA,LAS,International,round trip,4,12011,3711,15722,02-03-2024,PayPal,Yes,648.0877893,Web,confirmed,09-03-2024,9.423192213,0,No
379,3,BOM,PNQ,International,one way,4,18226,5630,23856,02-03-2024,Credit Card,Yes,0,Android,confirmed,02-10-2024,12.6414252,57.39154508,Yes
466,1,AMD,ATL,International,round trip,1,36483,11270,47753,02-03-2024,Debit Card,Yes,899.0538621,Android,confirmed,01-10-2024,13.07223727,52.36730653,Yes
246,5,SFO,MIA,International,round trip,2,15799,4881,20680,02-03-2024,Bank Transfer,Yes,843.8937064,Web,confirmed,06-03-2024,0,0,No
46,3,LAX,ORD,International,one way,5,12390,3828,16218,02-03-2024,PayPal,Yes,695.3910949,Android,confirmed,05-03-2024,10.11098197,0,No
121,1,ORD,JAI,International,round trip,3,12220,3775,15995,02-03-2024,Bank Transfer,No,0,Web,confirmed,19-03-2024,10.82253091,0,No
306,3,JAI,AMD,International,one way,1,14958,4621,19579,03-03-2024,Credit Card,No,0,Web,confirmed,17-03-2024,1.50344866,0,No
470,1,DEL,BLR,Domestic,round trip,3,4344,1342,5686,03-03-2024,PayPal,No,0,Android,confirmed,30-03-2024,7.886038144,0,No
144,1,MIA,CCU,International,one way,2,29415,9087,38502,03-03-2024,Debit Card,No,0,Web,confirmed,06-03-2024,5.036057521,0,No
15,3,BLR,HYD,Domestic,one way,5,10215,3156,13371,03-03-2024,Debit Card,Yes,390.9304484,Web,confirmed,11-07-2024,5.68412616,0,No
196,3,SEA,ORD,International,round trip,3,26683,8243,34926,03-03-2024,Debit Card,Yes,0,Web,confirmed,28-06-2024,4.016707942,0,No
227,3,BLR,DEN,International,round trip,3,37044,11443,48487,03-03-2024,PayPal,Yes,0,Web,confirmed,02-11-2024,2.124195508,7.317163812,Yes
343,1,DEL,GOI,International,one way,3,14431,4458,18889,03-03-2024,PayPal,No,0,Web,confirmed,26-03-2024,8.786412961,0,No
154,5,SEA,GOI,International,round trip,3,30024,9274,39298,03-03-2024,Bank Transfer,No,0,Web,confirmed,20-03-2024,0,0,No
456,7,BOM,SFO,International,one way,4,33048,10208,43256,03-03-2024,Credit Card,Yes,631.6236425,Web,confirmed,17-09-2024,0,14.57683397,Yes
353,7,MAA,JFK,International,round trip,2,33967,10492,44459,03-03-2024,PayPal,Yes,105.6998564,Web,confirmed,01-04-2024,0,0,No
136,1,BOM,HYD,Domestic,round trip,4,10036,3101,13137,03-03-2024,Bank Transfer,No,0,Web,confirmed,22-03-2024,9.206742525,0,No
2,3,BOM,BLR,Domestic,one way,4,10674,3298,13972,03-03-2024,Credit Card,Yes,928.2379955,Android,confirmed,23-03-2024,13.49657438,0,No
426,3,JAI,BLR,International,round trip,4,31447,9714,41161,03-03-2024,Bank Transfer,No,0,Web,confirmed,28-03-2024,6.675399857,0,No
473,1,HYD,PNQ,International,one way,5,21483,6636,28119,03-03-2024,Credit Card,Yes,0,Web,confirmed,20-09-2024,12.85961553,35.42712993,Yes
94,5,CCU,DEL,Domestic,one way,5,8335,2575,10910,03-03-2024,Debit Card,No,0,Android,confirmed,18-03-2024,0,0,No
